0.0	Book Cover
（賽 64:7）	並且無人求告你的名； 無人奮力抓住你。 原來你掩面不顧我們， 使我們因罪孽消化。
（結 22:30）	我在他們中間尋找一人重修牆垣，在我面前為這國站在破口防堵，使我不滅絕這國，卻找不着一個。
0.1.0	Why This Manual Was Written
（約一 5:14）	我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。
（來 4:14-16）	我們既然有一位已經升入高天尊榮的大祭司，就是上帝的兒子耶穌，便當持定所承認的道。因我們的大祭司並非不能體恤我們的軟弱。他也曾凡事受過試探，與我們一樣，只是他沒有犯罪。所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
0.2.0	A Proposed Method for Prayer
（民 14:17）	現在求主大顯能力，照你所說過的話說：
0.3.0	The Prayer Method at Work
0.4.0	An Example of Praying About The Struggle With Sin
0.4.{1}	Praise God
（來 4:14-16）	我們既然有一位已經升入高天尊榮的大祭司，就是上帝的兒子耶穌，便當持定所承認的道。因我們的大祭司並非不能體恤我們的軟弱。他也曾凡事受過試探，與我們一樣，只是他沒有犯罪。所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
（來 4:14-16）	我們既然有一位已經升入高天尊榮的大祭司，就是上帝的兒子耶穌，便當持定所承認的道。因我們的大祭司並非不能體恤我們的軟弱。他也曾凡事受過試探，與我們一樣，只是他沒有犯罪。所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
0.4.{2}	Confess Sin
（詩 25:11）	耶和華啊，求你因你的名赦免我的罪， 因為我的罪重大。
（拉 9:13）	上帝啊，我們因自己的惡行和大罪，遭遇了這一切的事，並且你刑罰我們輕於我們罪所當得的，又給我們留下這些人。
0.4.{3}	Pray the Promises
（耶 31:9）	他們要哭泣而來。 我要照他們懇求的引導他們， 使他們在河水旁走正直的路， 在其上不致絆跌； 因為我是以色列的父， 以法蓮是我的長子。
（約一 5:14）	我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。
0.4.{4}	Pray Scripture Prayers
