（赛 64:7）	并且无人求告你的名； 无人奋力抓住你。 原来你掩面不顾我们， 使我们因罪孽消化。
（结 22:30）	我在他们中间寻找一人重修墙垣，在我面前为这国站在破口防堵，使我不灭绝这国，却找不着一个。
（约一 5:14）	我们若照他的旨意求什么，他就听我们，这是我们向他所存坦然无惧的心。
（来 4:14-16）	我们既然有一位已经升入高天尊荣的大祭司，就是上帝的儿子耶稣，便当持定所承认的道。因我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪。所以，我们只管坦然无惧地来到施恩的宝座前，为要得怜恤，蒙恩惠，作随时的帮助。
（民 14:17）	现在求主大显能力，照你所说过的话说：
（来 4:14-16）	我们既然有一位已经升入高天尊荣的大祭司，就是上帝的儿子耶稣，便当持定所承认的道。因我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪。所以，我们只管坦然无惧地来到施恩的宝座前，为要得怜恤，蒙恩惠，作随时的帮助。
（来 4:14-16）	我们既然有一位已经升入高天尊荣的大祭司，就是上帝的儿子耶稣，便当持定所承认的道。因我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪。所以，我们只管坦然无惧地来到施恩的宝座前，为要得怜恤，蒙恩惠，作随时的帮助。
（诗 25:11）	耶和华啊，求你因你的名赦免我的罪， 因为我的罪重大。
（拉 9:13）	上帝啊，我们因自己的恶行和大罪，遭遇了这一切的事，并且你刑罚我们轻于我们罪所当得的，又给我们留下这些人。
（耶 31:9）	他们要哭泣而来。 我要照他们恳求的引导他们， 使他们在河水旁走正直的路， 在其上不致绊跌； 因为我是以色列的父， 以法莲是我的长子。
（约一 5:14）	我们若照他的旨意求什么，他就听我们，这是我们向他所存坦然无惧的心。
（诗 19:14）	耶和华－我的磐石，我的救赎主啊， 愿我口中的言语、心里的意念在你面前蒙悦纳。
（诗 33:21）	我们的心必靠他欢喜， 因为我们向来倚靠他的圣名。
（创 31:2）	雅各见拉班的气色向他不如从前了。
（创 32:12）	你曾说：『我必定厚待你，使你的后裔如同海边的沙，多得不可胜数。』」
（创 32:9）	雅各说：「耶和华－我祖亚伯拉罕的上帝，我父亲以撒的上帝啊，你曾对我说：『回你本地本族去，我要厚待你。』
（林后 1:20）	上帝的应许，不论有多少，在基督都是是的。所以藉着他也都是实在〔注：实在：原文是阿们〕的，叫上帝因我们得荣耀。
（林后 6:1）	我们与〔上帝〕同工的，也劝你们不可徒受他的恩典。
（林后 6:16）	上帝的殿和偶像有什么相同呢？因为我们是永生上帝的殿，就如上帝曾说： 我要在他们中间居住， 在他们中间来往； 我要作他们的上帝； 他们要作我的子民。
（利 26:12）	我要在你们中间行走；我要作你们的上帝，你们要作我的子民。
（出 32:27）	他对他们说：「耶和华－以色列的上帝这样说：『你们各人把刀跨在腰间，在营中往来，从这门到那门，各人杀他的弟兄与同伴并邻舍。』」
（赛 52:11）	你们离开吧！离开吧！ 从巴比伦出来。 不要沾不洁净的物； 要从其中出来。 你们扛抬耶和华器皿的人哪， 务要自洁。
（林后 7:1）	亲爱的〔弟兄〕啊，我们既有这等应许，就当洁净自己，除去身体、灵魂一切的污秽，敬畏上帝，得以成圣。
（加 3:16）	所应许的原是向亚伯拉罕和他子孙说的。上帝并不是说「众子孙」，指着许多人，乃是说「你那一个子孙」，指着一个人，就是基督。
（加 3:29）	你们既属乎基督，就是亚伯拉罕的后裔，是照着应许承受产业的了。
（太 4:5-7）	魔鬼就带他进了圣城，叫他站在殿顶〔注：顶：原文是翅〕上，对他说：「你若是上帝的儿子，可以跳下去，因为〔经上〕记着说： 主要为你吩咐他的使者 用手托着你， 免得你的脚碰在石头上。」耶稣对他说：「〔经上〕又记着说：『不可试探主－你的上帝。』」
（珥 2:29-32）	在那些日子， 我要将我的灵浇灌我的仆人和使女。「在天上地下，我要显出奇事，有血，有火，有烟柱。日头要变为黑暗，月亮要变为血，这都在耶和华大而可畏的日子未到以前。到那时候，凡求告耶和华名的就必得救；因为照耶和华所说的，在锡安山，耶路撒冷必有逃脱的人，在剩下的人中必有耶和华所召的。」
（徒 2:15）	你们想这些人是醉了；其实不是醉了，因为时候刚到巳初。
（启 6:12）	揭开第六印的时候，我又看见地大震动，日头变黑像毛布，满月变〔红〕像血，
